Timestamp,Load Cell 1
2024-09-27 15:08:54,-0.14
2024-09-27 15:08:54,-0.14
2024-09-27 15:08:54,-0.14
2024-09-27 15:08:54,-0.14
2024-09-27 15:08:54,-0.14
2024-09-27 15:08:54,-0.14
2024-09-27 15:08:54,-0.14
2024-09-27 15:08:54,-0.14
2024-09-27 15:08:54,-0.14
2024-09-27 15:08:54,-0.16
2024-09-27 15:08:54,-0.16
2024-09-27 15:08:54,-0.16
2024-09-27 15:08:54,-0.16
2024-09-27 15:08:54,-0.16
2024-09-27 15:08:54,-0.16
2024-09-27 15:08:54,-0.16
2024-09-27 15:08:54,-0.16
2024-09-27 15:08:54,-0.16
2024-09-27 15:08:54,-0.2
2024-09-27 15:08:54,-0.2
2024-09-27 15:08:54,-0.2
2024-09-27 15:08:54,-0.2
2024-09-27 15:08:54,-0.2
2024-09-27 15:08:54,-0.2
2024-09-27 15:08:54,-0.2
2024-09-27 15:08:54,-0.2
2024-09-27 15:08:54,-0.2
2024-09-27 15:08:54,-0.2
2024-09-27 15:08:54,-0.24
2024-09-27 15:08:54,-0.24
2024-09-27 15:08:54,-0.24
2024-09-27 15:08:54,-0.24
2024-09-27 15:08:54,-0.24
2024-09-27 15:08:54,-0.24
2024-09-27 15:08:54,-0.24
2024-09-27 15:08:54,-0.24
2024-09-27 15:08:54,-0.24
2024-09-27 15:08:54,-0.24
2024-09-27 15:08:54,-0.24
2024-09-27 15:08:54,-0.24
2024-09-27 15:08:54,-0.24
2024-09-27 15:08:54,-0.24
2024-09-27 15:08:54,-0.24
2024-09-27 15:08:54,-0.24
2024-09-27 15:08:54,-0.24
2024-09-27 15:08:54,-0.24
2024-09-27 15:08:54,-0.25
2024-09-27 15:08:54,-0.25
2024-09-27 15:08:54,-0.25
2024-09-27 15:08:54,-0.25
2024-09-27 15:08:54,-0.25
2024-09-27 15:08:54,-0.25
2024-09-27 15:08:54,-0.25
2024-09-27 15:08:54,-0.25
2024-09-27 15:08:54,-0.25
2024-09-27 15:08:54,-0.27
2024-09-27 15:08:54,-0.27
2024-09-27 15:08:54,-0.27
2024-09-27 15:08:54,-0.27
2024-09-27 15:08:54,-0.27
2024-09-27 15:08:54,-0.27
2024-09-27 15:08:54,-0.27
2024-09-27 15:08:54,-0.27
2024-09-27 15:08:54,-0.27
2024-09-27 15:08:54,-0.3
2024-09-27 15:08:54,-0.3
2024-09-27 15:08:54,-0.3
2024-09-27 15:08:54,-0.3
